category,subcategory
amenity,bar
amenity,bbq
amenity,cafe
amenity,cinema
amenity,dancing_school
amenity,dive_centre
amenity,events_venue
amenity,exhibition_centre
amenity,fast_food
amenity,food_court
amenity,guest_house
amenity,hookah_lounge
amenity,ice_cream
amenity,internet_cafe
amenity,library
amenity,motel
amenity,nightclub
amenity,planetarium
amenity,pub
amenity,public_bath
amenity,restaurant
amenity,social_centre
amenity,social_club
amenity,theatre
amenity,vending_machine
historic,archaeological_site
historic,boundary_stone
historic,building
historic,castle
historic,cemetery
historic,church
historic,cistern
historic,city_gate
historic,column
historic,drinking_fountain
historic,fort
historic,fountain
historic,memorial
historic,monument
historic,ruins
historic,tomb
historic,tower
historic,uncategorized
leisure,adult_gaming_centre
leisure,amusement_arcade
leisure,bath
leisure,beach_resort
leisure,bowling_alley
leisure,common
leisure,dance
leisure,dog_park
leisure,fitness_centre
leisure,fitness_station
leisure,garden
leisure,golf_course
leisure,horse_riding
leisure,indoor_play
leisure,marina
leisure,miniature_golf
leisure,nature_reserve
leisure,outdoor_seating
leisure,park
leisure,picnic_table
leisure,pitch
leisure,playground
leisure,resort
leisure,sauna
leisure,slipway
leisure,sports_centre
leisure,sports_hall
leisure,stadium
leisure,swimming_pool
leisure,tanning_salon
leisure,tree_garden
leisure,turkish_bath
leisure,uncategorized
natural,bay
natural,beach
natural,cape
natural,cave_entrance
natural,hill
natural,hot_spring
natural,peak
natural,plateau
natural,reef
natural,shrub
natural,sinkhole
natural,Soap
natural,spring
natural,tree
natural,wood
natural,uncategorized
shop,accessories
shop,accessory
shop,advertising
shop,agrarian
shop,alcohol
shop,animal_food
shop,anime
shop,antiques
shop,appliance
shop,art
shop,association
shop,Athletic_Club
shop,attar
shop,baby_goods
shop,bag
shop,Bag_shop
shop,bakery
shop,bathroom_furnishing
shop,beauty
shop,beauty_supply
shop,bed
shop,beverages
shop,bicycle
shop,billiard_shop
shop,blacksmith
shop,boat
shop,bookmaker
shop,books
shop,boutique
shop,building_materials
shop,butcher
shop,car
shop,carpet
shop,carpet_store
shop,car_parts
shop,car_repair
shop,cheese
shop,chemist
shop,chocolate
shop,cleaning
shop,clothes
shop,coffee
shop,collector
shop,computer
shop,confectionery
shop,convenience
shop,copyshop
shop,cosmetics
shop,craft
shop,curtain
shop,dairy
shop,deli
shop,department_store
shop,dessert
shop,dessert_shop
shop,doityourself
shop,doors
shop,dormitory
shop,Dorms
shop,dry_cleaning
shop,electrical
shop,electrics
shop,electronics
shop,erotic
shop,estate_agent
shop,fabric
shop,farm
shop,fashion_accessories
shop,fireplace
shop,fishing
shop,flooring
shop,florist
shop,food
shop,foreign_trade
shop,frame
shop,fuel
shop,funeral_directors
shop,furniture
shop,games
shop,garden_centre
shop,garden_furniture
shop,gas
shop,general
shop,gift
shop,glass_bottles_shop
shop,Glass_shop
shop,glaziery
shop,greengrocer
shop,grocery
shop,hairdresser
shop,hairdresser_supply
shop,hardware
shop,health_food
shop,hearing_aids
shop,herbalist
shop,hifi
shop,hobby
shop,home_good_store
shop,hookah
shop,household_items_shop
shop,household_linen
shop,houseware
shop,hunting
shop,hunting_gear_shop
shop,hvac
shop,ice_cream
shop,IMPORT_EXPORT
shop,interior_decoration
shop,internet
shop,jewelry
shop,key_cutter
shop,kiosk
shop,kitchen
shop,labels
shop,laundry
shop,leather
shop,library
shop,lighting
shop,locksmith
shop,lottery
shop,mall
shop,mannequin
shop,massage
shop,medical
shop,medical_supply
shop,military_surplus
shop,mobile_phone
shop,mobilya
shop,model
shop,motorcycle
shop,motorcycle_repair
shop,motors
shop,music
shop,musical_instrument
shop,Natural_stones
shop,nature
shop,Navking
shop,newsagent
shop,Novelty_store
shop,nutrition_supplements
shop,nuts
shop,office_supplies
shop,optician
shop,outdoor
shop,outpost
shop,Package_shop
shop,paint
shop,party
shop,pasta
shop,pastry
shop,pawnbroker
shop,perfumery
shop,pet
shop,pet_grooming
shop,photo
shop,photography
shop,photo_studio
shop,piano_shop
shop,pickle
shop,pickles
shop,plumber
shop,plumbing
shop,pottery
shop,power_equipment
shop,printer_ink
shop,radiotechnics
shop,religion
shop,rental
shop,repair
shop,restaurant
shop,safe_vault_shop
shop,scuba_diving
shop,seafood
shop,second_hand
shop,security
shop,sewing
shop,shipment
shop,shoes
shop,shoe_repair
shop,shopping_mall
shop,slaughterhouse
shop,soup_shop
shop,spices
shop,sports
shop,stationery
shop,stores_shopping_site
shop,stroller
shop,supermarket
shop,tailor
shop,tattoo
shop,tea
shop,telecommunication
shop,textiles
shop,ticket
shop,tiles
shop,tobacco
shop,toys
shop,trade
shop,travel_agency
shop,turkish_bath
shop,tyres
shop,umbrella
shop,vacant
shop,variety_store
shop,video
shop,video_games
shop,watches
shop,water
shop,water_delivery
shop,water_supplier
shop,weapons
shop,wheelchair
shop,wholesale
shop,wigs
shop,window_blind
shop,wine
shop,uncategorized
sport,archery
sport,basketball
sport,billiards
sport,chess
sport,climbing
sport,fencing
sport,fitness
sport,football
sport,golf
sport,gymnastics
sport,ice_hockey
sport,karate
sport,karting
sport,multi
sport,pelota
sport,pilates
sport,safety_training
sport,scuba_diving
sport,shooting
sport,skateboard
sport,soccer
sport,swimming
sport,table_tennis
sport,taekwondo
sport,tennis
sport,wrestling
sport,yoga
