name,description,location,tags,coordinates.latitude,coordinates.longitude,source_folder,source_file
İvaz Efendi Çeşmesi,No description available,Istanbul,[],41.0378821,28.9411572,nodes,historical.json
Sadrazam Bahir Mustafa Paşa Çeşmesi,No description available,Türkiye/İstanbul,[],41.0425394,28.9181886,nodes,historical.json
Gate of Rhegion,No description available,Türkiye/İstanbul,[],41.014097,28.92199,nodes,historical.json
Gate of Rhegion,No description available,Türkiye/İstanbul,[],41.0140859,28.9220687,nodes,historical.json
Unknown Place,No description available,Türkiye/İstanbul,[],41.1029312,29.0466368,nodes,historical.json
Korugan 29,No description available,Türkiye/İstanbul,[],41.3065035,28.5293046,nodes,historical.json
Korugan 26,No description available,Türkiye/İstanbul,[],41.3040645,28.5260578,nodes,historical.json
Korugan 32,No description available,Türkiye/İstanbul,[],41.3180905,28.5340275,nodes,historical.json
Korugan 23,No description available,Türkiye/İstanbul,[],41.3011676,28.5159078,nodes,historical.json
Korugan 19,No description available,Türkiye/İstanbul,[],41.2740964,28.5121983,nodes,historical.json
Korugan 234,No description available,Türkiye/İstanbul,[],41.2856674,28.509551,nodes,historical.json
Korugan 233,No description available,Türkiye/İstanbul,[],41.2862216,28.5089877,nodes,historical.json
Korugan 235,No description available,Türkiye/İstanbul,[],41.2852864,28.5099949,nodes,historical.json
Korugan 236,No description available,Türkiye/İstanbul,[],41.2844258,28.50972,nodes,historical.json
Korugan 252,No description available,Türkiye/İstanbul,[],41.2526039,28.5163558,nodes,historical.json
Korugan 30,No description available,Türkiye/İstanbul,[],41.2518024,28.5294369,nodes,historical.json
Korugan 253,No description available,Türkiye/İstanbul,[],41.2514343,28.5215914,nodes,historical.json
Korugan 247,No description available,Türkiye/İstanbul,[],41.2492383,28.5195999,nodes,historical.json
Korugan 248,No description available,Türkiye/İstanbul,[],41.2494732,28.5175842,nodes,historical.json
Korugan 249,No description available,Türkiye/İstanbul,[],41.2497626,28.5173683,nodes,historical.json
Korugan 251,No description available,Türkiye/İstanbul,[],41.2457646,28.5117477,nodes,historical.json
Korugan 245,No description available,Türkiye/İstanbul,[],41.2610556,28.514607,nodes,historical.json
Korugan 21,No description available,Türkiye/İstanbul,[],41.2611746,28.5139069,nodes,historical.json
Korugan 15,No description available,Türkiye/İstanbul,[],41.2624468,28.5086444,nodes,historical.json
Korugan 240,No description available,Türkiye/İstanbul,[],41.2550529,28.5017002,nodes,historical.json
Korugan 12,No description available,Türkiye/İstanbul,[],41.2555349,28.5060655,nodes,historical.json
Korugan 11,No description available,Türkiye/İstanbul,[],41.2583064,28.5052782,nodes,historical.json
Korugan 10,No description available,Türkiye/İstanbul,[],41.2585241,28.5054727,nodes,historical.json
Unknown Place,No description available,Türkiye/İstanbul,[],41.1359274,28.8933714,nodes,historical.json
Kartal Çeşmesi,No description available,Türkiye/İstanbul,[],40.8900062,29.1871589,nodes,historical.json
Yoğurtçu Çeşmesi,No description available,Türkiye/İstanbul,[],40.983629,29.0332419,nodes,historical.json
Unknown Place,No description available,Türkiye/İstanbul,[],41.0580729,29.0351922,nodes,historical.json
Carrefour,No description available,Türkiye/İstanbul,[],41.0166566,29.0235532,nodes,shop.json
PendikPark,No description available,Türkiye/İstanbul,[],40.881316,29.2328597,nodes,shop.json
Burda,No description available,Türkiye/İstanbul,[],41.0097386,29.1388417,nodes,shop.json
Temur Hipermarket,No description available,Türkiye/İstanbul,[],41.0048654,29.1358277,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0241676,29.1254262,nodes,shop.json
Üstün Market,No description available,Türkiye/İstanbul,[],41.0059616,29.1383921,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.001333,29.1395419,nodes,shop.json
Mopas,No description available,Türkiye/İstanbul,[],41.0132424,29.1348077,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0080093,29.1381379,nodes,shop.json
Özkurus,No description available,Türkiye/İstanbul,[],41.0190818,29.1323896,nodes,shop.json
Basaran Mini Market,No description available,Türkiye/İstanbul,[],41.005123,28.9787961,nodes,shop.json
Beylerbeyi Profiterol,No description available,Türkiye/İstanbul,[],41.0311867,28.9818326,nodes,shop.json
Carrefour,No description available,Türkiye/İstanbul,[],41.0318474,28.9829137,nodes,shop.json
Orka Süpermarket,No description available,Türkiye/İstanbul,[],41.031731,28.9819731,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0314639,28.9826168,nodes,shop.json
Özkuruşlar,No description available,Türkiye/İstanbul,[],41.0105955,29.0347398,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0109355,29.0349115,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0126012,29.0368159,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.9887016,28.8457578,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0335927,28.9790914,nodes,shop.json
Namlı Market,No description available,Türkiye/İstanbul,[],41.0349113,28.984739,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.9848199,29.0269555,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0548041,28.8970854,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0160733,28.9305066,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0157853,28.9296179,nodes,shop.json
Eroğlu Bakkal,No description available,Türkiye/İstanbul,[],41.0153495,28.9305688,nodes,shop.json
Tövbe Market,No description available,Türkiye/İstanbul,[],41.0133431,28.933686,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0132193,28.9320184,nodes,shop.json
Filiz Cam,No description available,Türkiye/İstanbul,[],41.0128863,28.9333176,nodes,shop.json
Konuksal Ekmek Fırını,No description available,Türkiye/İstanbul,[],41.0161992,28.9303149,nodes,shop.json
Çin Pazarı,No description available,Türkiye/İstanbul,[],41.0142338,28.9304236,nodes,shop.json
Çapa Home,No description available,Türkiye/İstanbul,[],41.0153384,28.9294549,nodes,shop.json
Stop,No description available,Türkiye/İstanbul,[],41.0138454,28.9325907,nodes,shop.json
