name,description,location,tags,coordinates.latitude,coordinates.longitude,source_folder,source_file
Hamdi,No description available,Türkiye/İstanbul,['restaurant'],41.0171629,28.9698993,nodes,amenity.json
Pera Antakya,No description available,Türkiye/İstanbul,['restaurant'],41.0309965,28.9748683,nodes,amenity.json
Pizzeria,No description available,Türkiye/İstanbul,['restaurant'],41.0122714,28.9551177,nodes,amenity.json
McDonald's,No description available,Türkiye/İstanbul,['fast_food'],41.0260114,29.0166111,nodes,amenity.json
Unknown Place,No description available,Türkiye/İstanbul,['fountain'],41.0241222,29.0161834,nodes,amenity.json
Beyaz Kösk,No description available,Türkiye/İstanbul,['cafe'],40.8984291,29.1732704,nodes,amenity.json
İTO ESHV Tesisleri,No description available,Türkiye/İstanbul,['restaurant'],41.0709509,29.0626164,nodes,amenity.json
McDonald's,No description available,Türkiye/İstanbul,['fast_food'],41.0246349,28.6233394,nodes,amenity.json
Pierre Loti Kahvehanesi,No description available,Türkiye/İstanbul,['cafe'],41.0537075,28.9335372,nodes,amenity.json
Java Studio Istanbul,No description available,Türkiye/İstanbul,['cafe'],41.0055966,28.9793175,nodes,amenity.json
Unknown Place,No description available,Türkiye/İstanbul,['cafe'],41.1743114,29.6037947,nodes,amenity.json
Unknown Place,No description available,Türkiye/İstanbul,['restaurant'],41.1354436,29.089699,nodes,amenity.json
Iskele Restaurant,No description available,Türkiye/İstanbul,['restaurant'],41.1217558,29.0708274,nodes,amenity.json
Feriye Sinemaları,No description available,Türkiye/İstanbul,['cinema'],41.0475599,29.0238189,nodes,amenity.json
Cankaya,No description available,Türkiye/İstanbul,['cafe'],41.0097264,29.1398725,nodes,amenity.json
Titiz,No description available,Türkiye/İstanbul,['cafe'],41.0099207,29.1394605,nodes,amenity.json
Unknown Place,No description available,Türkiye/İstanbul,['cafe'],41.0858449,29.0447576,nodes,amenity.json
Hayat Cafe,No description available,Türkiye/İstanbul,['fast_food'],41.0047902,28.9791698,nodes,amenity.json
Dönerci Celal Usta,No description available,Türkiye/İstanbul,['restaurant'],40.9976571,29.1456398,nodes,amenity.json
Köz Kanat,No description available,Türkiye/İstanbul,['restaurant'],40.8936126,29.1708429,nodes,amenity.json
Kır Kahvesi,No description available,Türkiye/İstanbul,['cafe'],41.050052,29.0129935,nodes,amenity.json
Garaj Istanbul,No description available,Türkiye/İstanbul,['theatre'],41.032377,28.9774536,nodes,amenity.json
Dürümcü Ismail Usta,No description available,Türkiye/İstanbul,['fast_food'],41.0275368,28.9802602,nodes,amenity.json
Börekci,No description available,Türkiye/İstanbul,['fast_food'],41.0299782,28.9795176,nodes,amenity.json
Börekci,No description available,Türkiye/İstanbul,['fast_food'],41.0293702,28.9796765,nodes,amenity.json
Hanımeli,No description available,Türkiye/İstanbul,['cafe'],41.0317715,28.9822188,nodes,amenity.json
Börekci,No description available,Türkiye/İstanbul,['fast_food'],41.0315833,28.9821627,nodes,amenity.json
Urban Cafe,No description available,Türkiye/İstanbul,['bar'],41.0336104,28.9785641,nodes,amenity.json
